<<<<<<< HEAD
Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0005wsk,,J054227.76-100151.2,,,,,,0,0,,,,,,,10.239,0.024,5.385,0.028,,,7.391,0.025,7.391,1.0056014,0.025,2.006,0.013,,,2.006,0.013,,AWI0005wsk,J054227.76-100151.2,10.239,,,,,,,
AWI0005wvr,,J055720.57-134921.9,,,,,,0,0,,,,,,,10.646,0.023,5.110,0.031,,,8.599,0.022,8.599,1,0.022,3.489,0.022,,,3.489,0.022,,AWI0005wvr,J055720.57-134921.9,10.646,,,,,,,
AWI0005ww1,,J055804.52-141457.4,,,,,,0,0,,,,,,,11.497,0.021,5.436,0.046,,,11.119,0.023,11.119,1,0.023,5.683,0.04,,,5.683,0.04,,AWI0005ww1,J055804.52-141457.4,11.497,,,,,,,
AWI0005wwi,,J055924.43-145421.8,,,,,,0,0,13.08,0.3,12.39,0.2,12.536,0.001,11.712,0.024,5.125,0.039,,,10.566,0.023,10.566,1,0.023,5.441,0.031,,,5.441,0.031,,AWI0005wwi,J055924.43-145421.8,11.712,,,,,,,
AWI0005x9h,102065,J114336.83-802900.5,B9IV,,,,,0,0,6.67,0.01,6.61,0.01,6.566,0.001,6.194,0.019,0.557,0.061,,,6.069,0.052,6.058,1.0116826,0.053,5.501,0.031,,,5.501,0.031,,AWI0005x9h,J114336.83-802900.5,6.194,,,,,,,
AWI0005yp9,,J052303.81-044043.7,K5,,,,,0,0,15.2,0.1,14.4,0.1,,,11.663,0.024,4.258,0.051,,,10.116,0.023,10.116,1,0.023,5.858,0.046,,,5.858,0.046,,AWI0005yp9,J052303.81-044043.7,11.663,,,,,,,
AWI0005ypo,,J052556.05-021601.5,,,,,,0,0,,,15.4,0.1,,,11.956,0.024,4.249,0.058,,,10.32,0.023,10.320,1,0.023,6.071,0.053,,,6.071,0.053,,AWI0005ypo,J052556.05-021601.5,11.956,,,,,,,
AWI0005ypv,,J052653.64-100458.1,,,,,,0,0,,,,,,,11.59,0.024,5.169,0.034,,,9.702,0.022,9.702,1,0.022,4.533,0.026,,,4.533,0.026,,AWI0005ypv,J052653.64-100458.1,11.59,,,,,,,
AWI0005yqi,,J053047.99-073132.4,,,,,,0,0,,,,,,,12.247,0.024,4.091,0.075,,,10.52,0.024,10.520,1,0.024,6.429,0.071,,,6.429,0.071,,AWI0005yqi,J053047.99-073132.4,12.247,,,,,,,
AWI0005zh6,,J050206.31-085046.6,M2IV,,,,,0,0,,,,,,,10.867,0.024,4.632,0.038,,,8.859,0.023,8.859,1,0.023,4.227,0.03,,,4.227,0.03,,AWI0005zh6,J050206.31-085046.6,10.867,,,,,,,
AWI0005zhi,,J050730.59-061059.9,K7IV,,,,,0,0,,,14.2,0.1,,,10.12,0.027,4.048,0.037,,,7.419,0.027,7.419,1.0054726,0.027,3.371,0.025,,,3.371,0.025,,AWI0005zhi,J050730.59-061059.9,10.12,,,,,,,
AWI0005zz5,25466,J040238.47-004803.7,A0V,,,,,0,0,6.966,0.01,6.93,0.1,6.949,0.001,6.835,0.020,0.642,0.070,,,6.835,0.035,6.831,1.008159,0.035,6.189,0.061,,,6.189,0.061,,AWI0005zz5,J040238.47-004803.7,6.835,,,,,,,
AWI000621k,,J205911.24-595822.3,,,,,,0,0,13.64,0.01,12.46,0.01,,,10.369,0.022,4.387,0.037,,,8.801,0.022,8.801,1,0.022,4.414,0.03,,,4.414,0.03,,AWI000621k,J205911.24-595822.3,10.369,,,,,,,
AWI000621m,,J205952.30-153218.5,,,,,,0,0,,,,,,,10.831,0.023,3.226,0.042,,,8.775,0.024,8.775,1,0.024,5.549,0.034,,,5.549,0.034,,AWI000621m,J205952.30-153218.5,10.831,,,,,,,
AWI0006222,201377,J210916.04-001405.6,A3III/IV,,,,,0,0,6.814,0.01,6.659,0.01,,,6.355,0.032,0.590,0.064,,,6.214,0.05,6.204,1.0110156,0.051,5.614,0.04,,,5.614,0.04,,AWI0006222,J210916.04-001405.6,6.355,,,,,,,
AWI0006226,,J211124.19-192737.9,,,,,,0,0,,,,,,,9.318,0.023,2.111,0.068,,,8.194,0.023,8.194,1,0.023,6.083,0.064,,,6.083,0.064,,AWI0006226,J211124.19-192737.9,9.318,,,,,,,
AWI0006251,,J002155.14-672715.9,,,,,,0,0,11.747,0.017,10.75,0.06,10.411,0.001,9.008,0.023,1.598,0.069,,,8.253,0.022,8.253,1,0.022,6.655,0.065,,,6.655,0.065,,AWI0006251,J002155.14-672715.9,9.008,,,,,,,
AWI00062l3,224155,J235537.71+081323.7,,6.821,0.015,6.818,0.01,0.003,0.018027756,6.817,0.019,6.819,0.01,6.844,0.001,6.770,0.026,0.475,0.078,,,6.759,0.036,6.755,1.0085086,0.036,6.28,0.069,,,6.28,0.069,,AWI00062l3,224155,J235537.71+081323.7,6.770,0.026,,,,,
AWI00062gs,218155,J230533.05+145732.5,,6.767,0.015,6.762,0.01,0.005,0.018027756,6.763,0.019,6.762,0.01,,,6.712,0.020,0.639,0.066,,,6.719,0.034,6.714,1.0086926,0.034,6.075,0.056,,,6.075,0.056,,AWI00062gs,218155,J230533.05+145732.5,6.712,0.020,,,,,
AWI0005ae4,224098,J235449.26+742436.2,,6.598,0.015,6.589,0.01,0.009,0.018027756,6.592,0.019,6.589,0.01,6.569,0.002,6.388,0.019,0.441,0.064,,,6.379,0.045,6.371,1.0102566,0.045,5.93,0.045,,,5.93,0.045,,AWI0005ae4,224098,J235449.26+742436.2,6.388,0.019,,,,,
AWI0000w9x,129584,J144313.04+014928.7,,7.34,0.01,7.33,0.01,0.01,0.014142136,7.33,0.02,7.33,0.01,7.342,0.001,7.260,0.024,0.816,0.059,,,7.233,0.029,7.232,1.0063282,0.029,6.416,0.051,,,6.416,0.051,,AWI0000w9x,129584,J144313.04+014928.7,7.260,0.024,,,,,
AWI0000gib,1777,J002133.47-661816.6,A0V,7.37,0.01,7.36,0.01,0.01,0.014142136,7.36,0.02,7.36,0.01,7.393,0.001,7.365,0.027,0.563,0.071,,,7.356,0.027,7.356,1.0057624,0.027,6.793,0.066,,,6.793,0.066,,AWI0000gib,J002133.47-661816.6,7.365,,,,,,,
AWI0005yn2,30365,J044717.93+054717.4,,6.78,0.01,6.77,0.01,0.01,0.014142136,6.77,0.02,6.77,0.01,6.782,0.00049,6.651,0.019,0.555,0.063,,,6.641,0.04,6.636,1.0090514,0.040,6.081,0.049,,,6.081,0.049,,AWI0005yn2,30365,J044717.93+054717.4,6.651,0.019,,,,,
AWI0005bow,164317,J175911.27+135417.8,,8.04,0.01,8.02,0.01,0.02,0.014142136,8.03,0.02,8.02,0.01,8.011,0.001,7.768,0.020,1.576,0.059,,,7.716,0.024,7.718,1.0041064,0.024,6.142,0.054,,,6.142,0.054,,AWI0005bow,164317,J175911.27+135417.8,7.768,0.020,,,,,
AWI00062df,28812,J043026.69-431245.6,A0V,7.36,0.01,7.34,0.01,0.02,0.014142136,7.35,0.02,7.34,0.01,7.379,0.001,7.329,0.017,0.945,0.057,,,7.305,0.029,7.305,1.005997,0.029,6.36,0.049,,,6.36,0.049,,AWI00062df,J043026.69-431245.6,7.329,,,,,,,
AWI00022y0,202084,J211139.56+534446.4,,7.104,0.015,7.082,0.01,0.022,0.018027756,7.094,0.019,7.081,0.01,7.118,0.00049,7.001,0.027,0.679,0.057,,,7.015,0.028,7.013,1.007331,0.028,6.334,0.05,,,6.334,0.05,,AWI00022y0,202084,J211139.56+534446.4,7.001,0.027,,,,,
AWI0005w41,218546,J230817.21+511146.3,,8.28,0.01,8.25,0.01,0.03,0.014142136,8.27,0.02,8.25,0.01,8.214,0.002,7.918,0.020,0.759,0.082,,,7.873,0.024,7.875,1.0033842,0.024,7.116,0.078,,,7.116,0.078,,AWI0005w41,218546,J230817.21+511146.3,7.918,0.020,,,,,
AWI0000gjb,214982,J224206.62-032824.4,,7.19,0.01,7.16,0.01,0.03,0.014142136,7.18,0.02,7.16,0.01,,,7.101,0.021,0.684,0.064,,,7.076,0.03,7.074,1.0070504,0.030,6.39,0.056,,,6.39,0.056,,AWI0000gjb,214982,J224206.62-032824.4,7.101,0.021,,,,,
AWI0000phh,18271,J025614.05+040254.2,,7.74,0.02,7.71,0.01,0.03,0.02236068,7.73,0.02,7.71,0.01,,,7.664,0.032,0.889,0.088,,,7.651,0.025,7.652,1.0044054,0.025,6.681,0.078,6.763780354,0.084180759,6.763780354,0.084180759,,AWI0000phh,18271,J025614.05+040254.2,7.664,0.032,,,,,
AWI00062h1,224429,J235746.21+112827.6,,6.674,0.014,6.644,0.01,0.03,0.017204651,6.663,0.018,6.641,0.01,6.675,0.00049,6.581,0.023,0.476,0.067,,,6.556,0.037,6.550,1.0094424,0.037,6.074,0.056,,,6.074,0.056,,AWI00062h1,224429,J235746.21+112827.6,6.581,0.023,,,,,
AWI00055sz,7406,J011636.23+740136.6,,7.09,0.01,7.05,0.01,0.04,0.014142136,7.08,0.02,7.05,0.01,6.963,0.001,6.764,0.056,0.641,0.055,,,6.603,0.039,6.597,1.0092262,0.039,5.956,0.038,,,5.956,0.038,,AWI00055sz,7406,J011636.23+740136.6,6.764,0.056,,,,,
AWI00057qr,151012,J164548.44-263858.1,B9.5V,7.06,0.01,7.02,0.01,0.04,0.014142136,7.05,0.02,7.02,0.01,,,6.943,0.018,1.088,0.064,,,6.92,0.036,6.917,1.007768,0.036,5.829,0.053,,,5.829,0.053,,AWI00057qr,J164548.44-263858.1,6.943,,,,,,,
AWI00062ic,19622,J030854.20-185809.1,A0V,7.23,0.01,7.19,0.01,0.04,0.014142136,7.22,0.02,7.19,0.01,7.155,0.001,6.734,0.023,0.547,0.058,,,6.307,0.047,6.298,1.0105878,0.047,5.751,0.034,,,5.751,0.034,,AWI00062ic,J030854.20-185809.1,6.734,,,,,,,
AWI0004y3p,195611,J203123.98+283625.0,,8.48,0.01,8.44,0.01,0.04,0.014142136,8.67,0.02,8.44,0.01,8.427,0.001,8.197,0.019,1.754,0.054,,,8.071,0.023,8.071,1,0.023,6.317,0.049,,,6.317,0.049,,AWI0004y3p,195611,J203123.98+283625.0,8.197,0.019,,,,,
AWI0000uji,134854,J151147.67+101259.8,,6.92,0.02,6.87,0.01,0.05,0.02236068,6.9,0.02,6.86,0.01,6.907,0.001,6.799,0.018,0.450,0.068,,,6.734,0.039,6.729,1.0086236,0.039,6.279,0.055,,,6.279,0.055,,AWI0000uji,134854,J151147.67+101259.8,6.799,0.018,,,,,
AWI0004ne5,9590,J013525.89+560237.3,,7.07,0.01,7.02,0.01,0.05,0.014142136,7.05,0.02,7.01,0.01,,,6.791,0.018,0.706,0.060,,,6.816,0.036,6.812,1.0082464,0.036,6.106,0.048,,,6.106,0.048,,AWI0004ne5,9590,J013525.89+560237.3,6.791,0.018,,,,,
AWI00055xg,36639,J053707.15+603636.4,,8.36,0.02,8.3,0.01,0.06,0.02236068,8.34,0.02,8.29,0.01,,,8.088,0.029,1.053,0.085,,,8.027,0.023,8.027,1,0.023,6.974,0.082,,,6.974,0.082,,AWI00055xg,36639,J053707.15+603636.4,8.088,0.029,,,,,
AWI000600b,29183,J043521.12-081730.0,,7.86,0.01,7.79,0.01,0.07,0.014142136,7.84,0.02,7.78,0.01,,,7.718,0.026,0.695,0.095,,,7.674,0.024,7.676,1.0042996,0.024,6.981,0.092,,,6.981,0.092,,AWI000600b,29183,J043521.12-081730.0,7.718,0.026,,,,,
AWI00062iw,21423,J032555.87-355515.1,A1IV,6.463,0.014,6.385,0.009,0.078,0.016643317,6.44,0.017,6.376,0.009,6.4,0.001,6.248,0.021,0.545,0.060,,,6.148,0.048,6.138,1.0113192,0.049,5.593,0.035,,,5.593,0.035,,AWI00062iw,J032555.87-355515.1,6.248,,,,,,,
AWI0005w29,212556,J222412.79+484918.7,,7.69,0.01,7.61,0.01,0.08,0.014142136,7.67,0.02,7.6,0.01,7.615,0.001,7.415,0.029,0.500,0.071,,,7.395,0.028,7.395,1.005583,0.028,6.895,0.065,,,6.895,0.065,,AWI0005w29,212556,J222412.79+484918.7,7.415,0.029,,,,,
AWI0005wcl,31315,J045519.57+163712.9,,7.25,0.01,7.17,0.01,0.08,0.014142136,7.23,0.02,7.16,0.01,7.19,0.001,6.987,0.026,0.687,0.074,,,6.948,0.036,6.945,1.0076392,0.036,6.258,0.064,,,6.258,0.064,,AWI0005wcl,31315,J045519.57+163712.9,6.987,0.026,,,,,
AWI0005f42,120886,J135331.70-523004.9,A0V,8.35,0.02,8.27,0.01,0.08,0.02236068,8.33,0.02,8.26,0.01,,,8.01,0.018,0.597,0.077,,,7.875,0.022,7.877,1.003375,0.022,7.28,0.074,,,7.28,0.074,,AWI0005f42,J135331.70-523004.9,8.01,,,,,,,
AWI00062j7,22593,J033709.08-294948.5,A1V,7.36,0.01,7.28,0.01,0.08,0.014142136,7.34,0.02,7.27,0.01,7.314,0.001,7.199,0.021,0.501,0.065,,,7.143,0.032,7.142,1.0067422,0.032,6.641,0.056,,,6.641,0.056,,AWI00062j7,J033709.08-294948.5,7.199,,,,,,,
AWI0003lz9,37998,J054330.38+251724.4,,8.36,0.02,8.27,0.02,0.09,0.028284271,8.33,0.03,8.26,0.02,8.227,0.002,7.905,0.023,1.712,0.051,,,7.251,0.028,7.250,1.0062454,0.028,5.538,0.042,,,5.538,0.042,,AWI0003lz9,37998,J054330.38+251724.4,7.905,0.023,,,,,
AWI0005mry,3051,J003412.66+540359.0,,7.69,0.01,7.6,0.01,0.09,0.014142136,7.66,0.02,7.59,0.01,7.612,0.001,7.350,0.019,0.465,0.083,,,7.346,0.049,7.346,1.0058084,0.049,6.881,0.067,,,6.881,0.067,,AWI0005mry,3051,J003412.66+540359.0,7.350,0.019,,,,,
AWI00062a8,9985,J013756.15+211539.9,,8.05,0.02,7.95,0.01,0.1,0.02236068,8.02,0.02,7.94,0.01,7.984,0.001,7.824,0.018,2.023,0.045,,,7.782,0.024,7.784,1.0038028,0.024,5.761,0.038,,,5.761,0.038,,AWI00062a8,9985,J013756.15+211539.9,7.824,0.018,,,,,
AWI00055sx,6370,J010652.55+743754.5,,8.47,0.01,8.37,0.01,0.1,0.014142136,8.44,0.02,8.36,0.01,8.386,0.001,8.168,0.029,1.010,0.090,,,8.149,0.023,8.149,1,0.023,7.139,0.087,,,7.139,0.087,,AWI00055sx,6370,J010652.55+743754.5,8.168,0.029,,,,,
AWI0005abf,213290,J222753.27+704806.0,,7.81,0.01,7.7,0.01,0.11,0.014142136,7.78,0.02,7.69,0.01,,,7.318,0.023,0.690,0.052,,,7.226,0.031,7.225,1.0063604,0.031,6.535,0.042,,,6.535,0.042,,AWI0005abf,213290,J222753.27+704806.0,7.318,0.023,,,,,
AWI0005d7g,203836,J205722.53+870157.8,,7.52,0.007,7.41,0.009,0.11,0.011401754,7.489,0.014,7.397,0.009,7.413,0.001,7.166,0.024,0.749,0.068,,,7.114,0.032,7.112,1.0068756,0.032,6.363,0.06,,,6.363,0.06,,AWI0005d7g,203836,J205722.53+870157.8,7.166,0.024,,,,,
AWI000425z,17217,J024755.37+553648.4,,7.03,0.01,6.92,0.01,0.11,0.014142136,7,0.02,6.91,0.01,6.92,0.00049,6.623,0.020,0.518,0.064,,,6.595,0.04,6.589,1.009263,0.040,6.071,0.05,,,6.071,0.05,,AWI000425z,17217,J024755.37+553648.4,6.623,0.020,,,,,
AWI0002mhd,173056,J184305.97+071626.4,,8.36,0.02,8.24,0.01,0.12,0.02236068,8.33,0.02,8.23,0.01,8.222,0.001,7.913,0.027,1.605,0.068,,,7.83,0.023,7.832,1.003582,0.023,6.227,0.064,,,6.227,0.064,,AWI0002mhd,173056,J184305.97+071626.4,7.913,0.027,,,,,
AWI0005bps,165507,J180533.55+182643.9,,8.29,0.02,8.17,0.01,0.12,0.02236068,8.26,0.02,8.16,0.01,8.187,0.002,7.952,0.019,0.696,0.106,,,7.9,0.023,7.902,1.00326,0.023,7.206,0.103,,,7.206,0.103,,AWI0005bps,165507,J180533.55+182643.9,7.952,0.019,,,,,
AWI0005zx4,11085,J014928.21+244048.7,,8.43,0.02,8.31,0.01,0.12,0.02236068,8.4,0.02,8.3,0.01,8.291,0.001,8.013,0.019,0.666,0.108,,,7.903,0.024,7.905,1.0032462,0.024,7.239,0.105,,,7.239,0.105,,AWI0005zx4,11085,J014928.21+244048.7,8.013,0.019,,,,,
AWI00062aj,12445,J020221.16+192323.6,,8.52,0.02,8.4,0.01,0.12,0.02236068,8.49,0.02,8.39,0.01,8.386,0.003,8.090,0.024,0.942,0.099,,,8.013,0.023,8.013,1,0.023,7.071,0.096,,,7.071,0.096,,AWI00062aj,12445,J020221.16+192323.6,8.090,0.024,,,,,
AWI0005d5p,165459,J180230.72+583738.4,,6.98,0.01,6.86,0.01,0.12,0.014142136,6.95,0.02,6.85,0.01,,,6.637,0.046,0.442,0.056,,,6.549,0.042,6.543,1.0094746,0.042,6.101,0.037,,,6.101,0.037,,AWI0005d5p,165459,J180230.72+583738.4,6.637,0.046,,,,,
AWI0005ykd,21062,J032448.99+283908.6,,7.25,0.01,7.12,0.01,0.13,0.014142136,7.22,0.02,7.1,0.01,7.121,0.001,6.838,0.018,0.632,0.068,,,6.847,0.036,6.843,1.0081038,0.036,6.211,0.057,,,6.211,0.057,,AWI0005ykd,21062,J032448.99+283908.6,6.838,0.018,,,,,
AWI0005zy4,21134,J032504.59+105835.0,,7.42,0.01,7.29,0.01,0.13,0.014142136,7.39,0.02,7.27,0.01,7.298,0.001,7.021,0.024,0.493,0.076,,,6.989,0.034,6.987,1.0074506,0.034,6.494,0.068,,,6.494,0.068,,AWI0005zy4,21134,J032504.59+105835.0,7.021,0.024,,,,,
AWI0005e72,37736,J054259.80+445105.2,,7.71,0.02,7.57,0.01,0.14,0.02236068,7.67,0.02,7.55,0.01,7.551,0.001,7.202,0.032,0.474,0.077,,,7.069,0.031,7.067,1.0070826,0.031,6.593,0.07,,,6.593,0.07,,AWI0005e72,37736,J054259.80+445105.2,7.202,0.032,,,,,
AWI0002oe7,      ,J214622.33+623151.8,,9.68,0.02,9.52,0.02,0.16,0.028284271,9.64,0.03,9.5,0.02,9.525,0.002,9.187,0.027,3.001,0.051,,,9.067,0.023,9.067,1,0.023,6.066,0.045,,,6.066,0.045,,AWI0002oe7,      ,J214622.33+623151.8,9.187,0.027,,,,,
AWI0005c01,199392,J205143.50+730449.3,,8.44,0.02,8.28,0.01,0.16,0.02236068,8.4,0.02,8.26,0.01,8.293,0.001,8.004,0.023,0.427,0.078,,,7.919,0.023,7.921,1.0031726,0.023,7.494,0.075,,,7.494,0.075,,AWI0005c01,199392,J205143.50+730449.3,8.004,0.023,,,,,
AWI0005yjq,15512,J023047.36+360701.7,,7.97,0.02,7.81,0.01,0.16,0.02236068,7.93,0.03,7.79,0.01,7.806,0.001,7.504,0.026,1.268,0.063,,,7.452,0.027,7.452,1.0053208,0.027,6.184,0.057,,,6.184,0.057,,AWI0005yjq,15512,J023047.36+360701.7,7.504,0.026,,,,,
AWI0005wee,287823,J052408.04+022746.9,,9.91,0.03,9.74,0.03,0.17,0.042426407,9.87,0.05,9.72,0.03,9.697,0.003,9.238,0.024,5.159,0.043,,,6.702,0.039,6.697,1.0087708,0.039,1.538,0.018,,,1.538,0.018,,AWI0005wee,287823,J052408.04+022746.9,9.238,0.024,,,,,
AWI0005yiv,5741,J005926.26+400918.2,,7.7,0.01,7.53,0.01,0.17,0.014142136,7.66,0.02,7.51,0.01,7.524,0.001,7.170,0.018,0.488,0.062,,,7.14,0.031,7.139,1.006756,0.031,6.651,0.054,,,6.651,0.054,,AWI0005yiv,5741,J005926.26+400918.2,7.170,0.018,,,,,
AWI0005zfw,17008,J024430.00+280053.8,,8.09,0.02,7.92,0.01,0.17,0.02236068,8.05,0.02,7.9,0.01,7.923,0.001,7.580,0.019,0.633,0.092,,,7.52,0.025,7.521,1.005008,0.025,6.888,0.089,,,6.888,0.089,,AWI0005zfw,17008,J024430.00+280053.8,7.580,0.019,,,,,
AWI0005xvl,176497,J190206.79-362142.1,A0IV,8.52,0.02,8.35,0.01,0.17,0.02236068,8.48,0.03,8.33,0.01,8.342,0.001,8.022,0.024,3.075,0.039,,,7.885,0.023,7.887,1.003329,0.023,4.812,0.032,,,4.812,0.032,,AWI0005xvl,J190206.79-362142.1,8.022,,,,,,,
AWI0005zgy,31100,J045245.95-062129.5,,8.46,0.02,8.29,0.01,0.17,0.02236068,8.42,0.02,8.27,0.01,8.303,0.001,8.009,0.026,1.236,0.078,,,7.917,0.024,7.919,1.0031818,0.024,6.683,0.074,,,6.683,0.074,,AWI0005zgy,31100,J045245.95-062129.5,8.009,0.026,,,,,
AWI00055vx,25318,J040649.32+702738.0,,8.85,0.01,8.67,0.01,0.18,0.014142136,8.81,0.02,8.65,0.01,8.626,0.001,8.195,0.026,1.083,0.084,,,8.078,0.024,8.078,1,0.024,6.995,0.08,,,6.995,0.08,,AWI00055vx,25318,J040649.32+702738.0,8.195,0.026,,,,,
AWI0002dny,102006,J114401.39-552327.0,A3mA6-A9,9.05,0.02,8.87,0.01,0.18,0.02236068,9.01,0.02,8.85,0.01,8.814,0.004,8.434,0.029,1.033,0.086,,,8.34,0.022,8.340,1,0.022,7.307,0.083,,,7.307,0.083,,AWI0002dny,J114401.39-552327.0,8.434,,,,,,,
AWI0006006,28856,J043217.75-133511.5,A1V,9.46,0.02,9.27,0.02,0.19,0.028284271,9.42,0.03,9.25,0.02,9.277,0.001,9.009,0.023,2.294,0.071,,,8.88,0.023,8.880,1,0.023,6.586,0.067,,,6.586,0.067,,AWI0006006,J043217.75-133511.5,9.009,,,,,,,
AWI0002ozm,232925,J041517.47+505124.0,,9.1,0.02,8.9,0.02,0.2,0.028284271,9.06,0.03,8.88,0.02,8.972,0.001,8.462,0.023,1.719,0.070,,,8.296,0.023,8.296,1,0.023,6.577,0.066,,,6.577,0.066,,AWI0002ozm,232925,J041517.47+505124.0,8.462,0.023,,,,,
AWI0000v1z,138214,J152954.11+234901.6,,7.78,0.01,7.58,0.01,0.2,0.014142136,7.73,0.02,7.56,0.01,7.555,0.00049,7.124,0.024,0.371,0.074,,,7.056,0.033,7.054,1.0071424,0.033,6.683,0.066,,,6.683,0.066,,AWI0000v1z,138214,J152954.11+234901.6,7.124,0.024,,,,,
AWI0005da8,98915,J112256.98-203731.7,A7V,7.67,0.02,7.47,0.01,0.2,0.02236068,7.62,0.02,7.45,0.01,7.468,0.001,7.133,0.020,0.547,0.075,,,7.001,0.036,6.999,1.0073954,0.036,6.452,0.066,,,6.452,0.066,,AWI0005da8,J112256.98-203731.7,7.133,,,,,,,
AWI0005yn4,30727,J045013.22+034100.3,,7.74,0.02,7.53,0.01,0.21,0.02236068,7.69,0.02,7.51,0.01,7.48,0.001,7.043,0.018,0.639,0.067,,,6.909,0.033,6.906,1.0078186,0.033,6.267,0.058,,,6.267,0.058,,AWI0005yn4,30727,J045013.22+034100.3,7.043,0.018,,,,,
AWI0003lzu,      ,J060325.99+172444.3,,9.57,0.02,9.35,0.02,0.22,0.028284271,9.52,0.03,9.32,0.02,9.264,0.002,8.662,0.019,1.627,0.070,,,7.962,0.022,7.965,1.0029748,0.022,6.338,0.066,,,6.338,0.066,,AWI0003lzu,      ,J060325.99+172444.3,8.662,0.019,,,,,
AWI0005n0p,      ,J052746.74+174407.4,,10.57,0.04,10.35,0.05,0.22,0.064031242,10.52,0.08,10.32,0.05,,,9.562,0.020,3.123,0.064,,,9.353,0.022,9.353,1,0.022,6.23,0.06,,,6.23,0.06,,AWI0005n0p,      ,J052746.74+174407.4,9.562,0.020,,,,,
AWI0005we7,287802,J052252.94+005557.8,,10.32,0.03,10.09,0.03,0.23,0.042426407,10.27,0.05,10.06,0.03,10.091,0.002,9.683,0.023,2.923,0.083,,,9.552,0.023,9.552,1,0.023,6.629,0.08,,,6.629,0.08,,AWI0005we7,287802,J052252.94+005557.8,9.683,0.023,,,,,
AWI0005wfn,      ,J052859.70+032148.6,,10.59,0.04,10.36,0.04,0.23,0.056568542,10.54,0.07,10.33,0.04,10.222,0.003,9.701,0.024,2.885,0.073,,,9.505,0.023,9.505,1,0.023,6.62,0.069,,,6.62,0.069,,AWI0005wfn,      ,J052859.70+032148.6,9.701,0.024,,,,,
AWI0005xl0,165236,J180841.59-591507.9,A9V,9.49,0.02,9.26,0.02,0.23,0.028284271,9.44,0.03,9.23,0.02,9.225,0.001,8.703,0.026,2.263,0.049,,,8.127,0.024,8.127,1,0.024,5.864,0.043,,,5.864,0.043,,AWI0005xl0,J180841.59-591507.9,8.703,,,,,,,
AWI00056i5,115820,J132026.77-491325.4,A7/8V,8.19,0.02,7.95,0.01,0.24,0.02236068,8.14,0.02,7.92,0.01,,,7.477,0.034,0.953,0.053,,,7.312,0.027,7.312,1.0059648,0.027,6.359,0.045,,,6.359,0.045,,AWI00056i5,J132026.77-491325.4,7.477,,,,,,,
AWI00059vy,      ,J191845.28+371449.2,,9.34,0.02,9.1,0.02,0.24,0.028284271,9.29,0.03,9.07,0.02,8.941,0.001,8.526,0.029,1.185,0.052,,,7.183,0.031,7.182,1.0065582,0.031,5.997,0.041,,,5.997,0.041,,AWI00059vy,      ,J191845.28+371449.2,8.526,0.029,,,,,
AWI0005f4c,121191,J135518.84-533142.8,A5IV/V,8.4,0.01,8.16,0.01,0.24,0.014142136,8.35,0.02,8.13,0.01,8.191,0.006,7.728,0.023,3.432,0.034,,,7.592,0.025,7.593,1.0046768,0.025,4.161,0.023,,,4.161,0.023,,AWI0005f4c,J135518.84-533142.8,7.728,,,,,,,
AWI0005d88,71988,J083100.44+185806.0,,7.67,0.02,7.42,0.01,0.25,0.02236068,7.62,0.02,7.39,0.01,7.389,0.00049,6.977,0.032,0.482,0.079,,,6.796,0.035,6.792,1.0083384,0.035,6.31,0.071,,,6.31,0.071,,AWI0005d88,71988,J083100.44+185806.0,6.977,0.032,,,,,
AWI0000psm,208664,J215947.70-593411.9,A9III/IV,8.44,0.01,8.19,0.01,0.25,0.014142136,8.39,0.02,8.16,0.01,,,7.688,0.021,0.609,0.086,,,7.54,0.027,7.541,1.004916,0.027,6.932,0.082,,,6.932,0.082,,AWI0000psm,J215947.70-593411.9,7.688,,,,,,,
AWI0005w7o,20994,J032429.84+341709.9,,8.93,0.02,8.67,0.01,0.26,0.02236068,8.88,0.02,8.64,0.01,8.592,0.003,7.931,0.027,1.324,0.075,,,7.759,0.023,7.761,1.0039086,0.023,6.437,0.071,,,6.437,0.071,,AWI0005w7o,20994,J032429.84+341709.9,7.931,0.027,,,,,
AWI0000y1k,98240,J111714.49-594610.8,A7/8III/IV,7.41,0.01,7.15,0.01,0.26,0.014142136,7.36,0.02,7.12,0.01,7.092,0.001,6.641,0.021,0.873,0.054,,,6.474,0.035,6.467,1.0098196,0.035,5.588,0.041,5.594558,0.041248423,5.594558,0.041248423,,AWI0000y1k,J111714.49-594610.8,6.641,,,,,,,
AWI0005f5v,122513,J140353.79-534628.3,A3III,8.236,0.015,7.969,0.011,0.267,0.018601075,8.18,0.02,7.34,0.01,7.932,0.001,7.481,0.018,1.257,0.054,,,7.286,0.029,7.286,1.0060844,0.029,6.029,0.046,,,6.029,0.046,,AWI0005f5v,J140353.79-534628.3,7.481,,,,,,,
